Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
omen,Sentinels,LOUD,Sentinels,3,LOUD,2,1 Sunset,TenZ,289,24,/ 13 /,8,77%,202
omen,Sentinels,LOUD,Sentinels,3,LOUD,2,2 Split,TenZ,272,16,/ 7 /,4,75%,174
kayo,Sentinels,LOUD,Sentinels,3,LOUD,2,3 Icebox,TenZ,210,16,/ 17 /,20,79%,132
yoru,Sentinels,LOUD,Sentinels,3,LOUD,2,4 Bind,TenZ,220,14,/ 19 /,7,76%,139
omen,Sentinels,LOUD,Sentinels,3,LOUD,2,5 Lotus,TenZ,239,14,/ 14 /,9,94%,141
omen,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,1 Sunset,TenZ,287,30,/ 17 /,15,90%,185
omen,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,2 Ascent,TenZ,210,14,/ 15 /,8,81%,137
omen,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,3 Split,TenZ,229,13,/ 11 /,6,81%,144
omen,Sentinels,G2 Esports,G2 Esports,2,Sentinels,1,1 Sunset,TenZ,211,17,/ 14 /,5,86%,119
kayo,Sentinels,G2 Esports,G2 Esports,2,Sentinels,1,2 Breeze,TenZ,185,15,/ 18 /,7,59%,148
omen,Sentinels,G2 Esports,G2 Esports,2,Sentinels,1,3 Split,TenZ,129,10,/ 14 /,6,64%,98
omen,Sentinels,MIBR,Sentinels,2,MIBR,0,1 Split,TenZ,224,19,/ 12 /,9,80%,145
omen,Sentinels,MIBR,Sentinels,2,MIBR,0,2 Ascent,TenZ,245,18,/ 12 /,5,79%,144
omen,Sentinels,Leviatán,Sentinels,2,Leviatán,1,1 Split,TenZ,172,11,/ 11 /,7,69%,99
kayo,Sentinels,Leviatán,Sentinels,2,Leviatán,1,2 Breeze,TenZ,154,9,/ 16 /,7,68%,95
yoru,Sentinels,Leviatán,Sentinels,2,Leviatán,1,3 Bind,TenZ,206,14,/ 16 /,10,73%,144
omen,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Lotus,TenZ,207,14,/ 8 /,11,83%,133
yoru,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Bind,TenZ,240,15,/ 14 /,5,63%,174
omen,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,3 Split,TenZ,199,14,/ 14 /,10,71%,134
omen,Sentinels,LOUD,LOUD,2,Sentinels,0,1 Split,TenZ,234,19,/ 16 /,6,67%,151
omen,Sentinels,LOUD,LOUD,2,Sentinels,0,2 Ascent,TenZ,109,7,/ 12 /,15,73%,78
yoru,Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,1 Bind,TenZ,405,21,/ 9 /,9,93%,265
gekko,Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,2 Breeze,TenZ,295,14,/ 13 /,1,57%,205
reyna,Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,3 Lotus,TenZ,443,35,/ 14 /,8,78%,282
omen,Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,1 Split,TenZ,163,11,/ 14 /,10,80%,103
omen,Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,2 Sunset,TenZ,231,17,/ 19 /,13,78%,145
kayo,Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,3 Breeze,TenZ,286,20,/ 12 /,14,95%,178
omen,Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,1 Split,TenZ,227,18,/ 12 /,12,86%,158
omen,Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,2 Haven,TenZ,114,7,/ 15 /,7,56%,89
omen,Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,3 Sunset,TenZ,246,17,/ 10 /,3,72%,169
yoru,Sentinels,DRX,Sentinels,2,DRX,0,1 Bind,TenZ,230,15,/ 19 /,14,81%,145
omen,Sentinels,DRX,Sentinels,2,DRX,0,2 Split,TenZ,312,32,/ 18 /,9,79%,210
kayo,Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,1 Breeze,TenZ,197,13,/ 13 /,15,90%,123
omen,Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,2 Sunset,TenZ,149,10,/ 18 /,5,55%,107
omen,Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,3 Haven,TenZ,220,23,/ 18 /,13,68%,147
iso,Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,1 Fracture,TenZ,281,22,/ 19 /,5,67%,179
reyna,Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,2 Pearl,TenZ,392,25,/ 5 /,0,94%,226
yoru,Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,3 Icebox,TenZ,196,19,/ 25 /,8,64%,127
kayo,Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,1 Ascent,TenZ,203,16,/ 19 /,12,75%,133
breach,Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,2 Sunset,TenZ,205,18,/ 14 /,10,65%,142
kayo,Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,3 Breeze,TenZ,222,21,/ 16 /,13,75%,136
breach,Sentinels,G2 Esports,Sentinels,2,G2 Esports,0,1 Sunset,TenZ,214,24,/ 17 /,10,77%,146
omen,Sentinels,G2 Esports,Sentinels,2,G2 Esports,0,2 Haven,TenZ,184,12,/ 13 /,12,84%,130
