MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
62393,2022-01-08 15:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Decider (A),6903,6020,Booster Seat Gaming,Pho Real,2,1
62403,2022-01-08 15:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Decider (C),7046,7047,Bjor's Kittens,Mugiwara,2,0
62391,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Winner's (A),6461,6903,Akrew,Booster Seat Gaming,2,1
62396,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Winner's (B),6164,7043,Radiance,sameROFLMAO,2,0
62401,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Winner's (C),7045,7046,Salt and Vinegar,Bjor's Kittens,2,0
62402,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Elimination (C),7047,3545,Mugiwara,CLG Red,2,0
62355,2022-01-08 10:30:00,Patch 3.12,843,The Esports Club Gauntlet - Season 4,Group Stage: Group A,4733,4680,True Rippers,T69,2,0
62389,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (A),6461,7042,Akrew,Squishy and Friends,2,0
62390,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (A),6903,6020,Booster Seat Gaming,Pho Real,2,0
62394,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (B),6164,7044,Radiance,Brolympics eSports,2,0
62395,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (B),7043,5482,sameROFLMAO,Kowareta,2,1
62399,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (C),7045,7047,Salt and Vinegar,Mugiwara,2,0
62400,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (C),7046,3545,Bjor's Kittens,CLG Red,2,0
62173,2022-01-08 07:00:00,,838,Gamers Galaxy Valorant,Main Event: Semifinals,6384,4807,Clarity Esports,Team Arrow,2,0
62354,2022-01-08 05:30:00,Patch 3.12,843,The Esports Club Gauntlet - Season 4,Group Stage: Group A,4829,5997,Team Valor,FS Esports ,2,1
62072,2022-01-08 04:35:00,,769,SEA Esports Championship 2021,Group Stage: Group A,466,1919,BOOM Esports,Kingsmen,1,1
62172,2022-01-08 03:30:00,,838,Gamers Galaxy Valorant,Main Event: Semifinals,4809,6477,Team Exploit,Fear Legends,2,0
62071,2022-01-08 03:00:00,,769,SEA Esports Championship 2021,Group Stage: Group A,6799,6982,Goodfellas Gaming,Nine Esport,2,0
62085,2022-01-07 07:40:00,,769,SEA Esports Championship 2021,Group Stage: Group D,4150,623,South Built Esports,Sharper Esport,1,1
