Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
1 Bind,TenZ,405,21,/ 9 /,9,+12,93%
2 Breeze,TenZ,295,14,/ 13 /,1,+1,57%
3 Lotus,TenZ,443,35,/ 14 /,8,+21,78%
1 Split,TenZ,163,11,/ 14 /,10,-3,80%
2 Sunset,TenZ,231,17,/ 19 /,13,-2,78%
3 Breeze,TenZ,286,20,/ 12 /,14,+8,95%
1 Split,TenZ,227,18,/ 12 /,12,+6,86%
2 Haven,TenZ,114,7,/ 15 /,7,-8,56%
3 Sunset,TenZ,246,17,/ 10 /,3,+7,72%
1 Bind,TenZ,230,15,/ 19 /,14,-4,81%
2 Split,TenZ,312,32,/ 18 /,9,+14,79%
1 Breeze,TenZ,197,13,/ 13 /,15,0,90%
2 Sunset,TenZ,149,10,/ 18 /,5,-8,55%
3 Haven,TenZ,220,23,/ 18 /,13,+5,68%
1 Fracture,TenZ,281,22,/ 19 /,5,+3,67%
2 Pearl,TenZ,392,25,/ 5 /,0,+20,94%
3 Icebox,TenZ,196,19,/ 25 /,8,-6,64%
1 Ascent,TenZ,203,16,/ 19 /,12,-3,75%
2 Sunset,TenZ,205,18,/ 14 /,10,+4,65%
3 Breeze,TenZ,222,21,/ 16 /,13,+5,75%
1 Sunset,TenZ,214,24,/ 17 /,10,+7,77%
2 Haven,TenZ,184,12,/ 13 /,12,-1,84%
1 Sunset,TenZ,230,18,/ 13 /,11,+5,76%
2 Haven,TenZ,148,11,/ 14 /,7,-3,52%
3 Split,TenZ,240,23,/ 16 /,11,+7,77%
1 Sunset,TenZ,204,18,/ 18 /,9,0,75%
2 Bind,TenZ,155,11,/ 12 /,6,-1,65%
3 Ascent,TenZ,209,14,/ 14 /,11,0,65%
1 Bind,TenZ,278,15,/ 8 /,4,+7,93%
2 Ascent,TenZ,249,17,/ 17 /,11,0,71%
3 Haven,TenZ,227,15,/ 14 /,6,+1,72%
1 Fracture,TenZ,240,17,/ 15 /,8,+2,76%
2 Split,TenZ,177,10,/ 15 /,3,-5,47%
1 Pearl,TenZ,184,11,/ 19 /,20,-8,71%
2 Fracture,TenZ,215,13,/ 12 /,14,+1,94%
3 Split,TenZ,198,14,/ 17 /,6,-3,71%
1 Pearl,TenZ,212,19,/ 20 /,14,-1,69%
2 Split,TenZ,236,17,/ 14 /,6,+3,75%
3 Bind,TenZ,259,19,/ 13 /,5,+6,75%
1 Split,TenZ,284,21,/ 13 /,4,+8,70%
2 Haven,TenZ,252,15,/ 14 /,6,+1,89%
3 Bind,TenZ,212,25,/ 26 /,8,-1,64%
1 Lotus,TenZ,208,16,/ 18 /,9,-2,65%
2 Bind,TenZ,225,18,/ 17 /,8,+1,74%
1 Split,TenZ,199,18,/ 18 /,5,0,65%
2 Ascent,TenZ,130,9,/ 18 /,7,-9,63%
3 Pearl,TenZ,118,8,/ 13 /,2,-5,47%
1 Lotus,TenZ,111,8,/ 16 /,5,-8,57%
2 Icebox,TenZ,113,5,/ 14 /,2,-9,47%
1 Fracture,TenZ,277,25,/ 15 /,3,+10,75%
2 Split,TenZ,242,20,/ 21 /,5,-1,65%
3 Ascent,TenZ,239,23,/ 14 /,3,+9,81%
1 Haven,TenZ,193,14,/ 13 /,3,+1,63%
2 Split,TenZ,174,12,/ 14 /,5,-2,60%
1 Fracture,TenZ,224,17,/ 16 /,9,+1,68%
2 Icebox,TenZ,220,13,/ 17 /,13,-4,68%
1 Fracture,TenZ,251,16,/ 15 /,25,+1,90%
2 Pearl,TenZ,386,32,/ 8 /,5,+24,95%
1 Fracture,TenZ,267,29,/ 23 /,3,+6,75%
2 Breeze,TenZ,245,18,/ 13 /,3,+5,65%
3 Haven,TenZ,310,26,/ 17 /,3,+9,63%
1 Breeze,TenZ,191,16,/ 12 /,5,+4,76%
2 Fracture,TenZ,210,25,/ 19 /,1,+6,69%
1 Breeze,TenZ,181,19,/ 22 /,2,-3,64%
2 Ascent,TenZ,222,19,/ 17 /,2,+2,74%
3 Icebox,TenZ,211,22,/ 22 /,3,0,71%
1 Haven,TenZ,58,2,/ 15 /,3,-13,47%
2 Ascent,TenZ,146,9,/ 19 /,5,-10,60%
1 Fracture,TenZ,197,16,/ 19 /,2,-3,50%
2 Haven,TenZ,248,26,/ 21 /,5,+5,67%
1 Ascent,TenZ,159,13,/ 21 /,4,-8,67%
2 Icebox,TenZ,227,17,/ 20 /,2,-3,78%
1 Bind,TenZ,312,26,/ 17 /,3,+9,67%
2 Breeze,TenZ,384,40,/ 21 /,6,+19,63%
3 Fracture,TenZ,152,9,/ 15 /,3,-6,53%
1 Haven,TenZ,291,15,/ 7 /,3,+8,86%
2 Icebox,TenZ,349,27,/ 15 /,3,+12,86%
1 Haven,TenZ,207,16,/ 11 /,2,+5,74%
2 Bind,TenZ,277,21,/ 13 /,2,+8,67%
1 Haven,TenZ,319,16,/ 9 /,5,+7,87%
2 Breeze,TenZ,273,24,/ 14 /,3,+10,78%
1 Icebox,TenZ,287,18,/ 15 /,6,+3,74%
2 Bind,TenZ,212,19,/ 15 /,2,+4,83%
1 Icebox,TenZ,310,21,/ 15 /,7,+6,90%
2 Bind,TenZ,337,20,/ 10 /,3,+10,94%
1 Icebox,TenZ,254,19,/ 21 /,4,-2,65%
2 Bind,TenZ,235,23,/ 18 /,6,+5,68%
1 Ascent,TenZ,281,22,/ 15 /,5,+7,73%
2 Bind,TenZ,269,20,/ 11 /,4,+9,85%
1 Bind,TenZ,210,17,/ 15 /,4,+2,65%
2 Fracture,TenZ,324,27,/ 17 /,6,+10,78%
3 Split,TenZ,319,19,/ 16 /,4,+3,68%
1 Split,TenZ,189,14,/ 16 /,7,-2,61%
2 Haven,TenZ,386,24,/ 9 /,3,+15,82%
3 Bind,TenZ,237,18,/ 17 /,8,+1,78%
1 Ascent,TenZ,268,18,/ 16 /,5,+2,75%
2 Bind,TenZ,299,21,/ 12 /,4,+9,95%
3 Haven,TenZ,304,24,/ 19 /,12,+5,79%
1 Split,TenZ,166,8,/ 15 /,4,-7,72%
2 Bind,TenZ,291,20,/ 13 /,5,+7,80%
3 Ascent,TenZ,254,23,/ 19 /,2,+4,74%
1 Ascent,TenZ,246,14,/ 7 /,1,+7,86%
2 Bind,TenZ,236,15,/ 11 /,7,+4,72%
1 Haven,TenZ,413,31,/ 9 /,2,+22,80%
2 Ascent,TenZ,196,14,/ 18 /,6,-4,50%
3 Fracture,TenZ,284,19,/ 19 /,8,0,71%
1 Bind,TenZ,207,13,/ 13 /,4,0,63%
2 Icebox,TenZ,108,3,/ 13 /,3,-10,57%
1 Ascent,TenZ,146,8,/ 16 /,5,-8,47%
2 Haven,TenZ,122,10,/ 19 /,2,-9,58%
1 Haven,TenZ,158,8,/ 18 /,7,-10,59%
2 Fracture,TenZ,199,19,/ 19 /,4,0,71%
3 Bind,TenZ,242,18,/ 13 /,6,+5,90%
1 Bind,TenZ,154,7,/ 14 /,2,-7,53%
2 Fracture,TenZ,277,21,/ 17 /,7,+4,70%
3 Icebox,TenZ,182,13,/ 17 /,8,-4,73%
1 Ascent,TenZ,210,20,/ 21 /,7,-1,71%
2 Bind,TenZ,312,23,/ 11 /,3,+12,100%
3 Haven,TenZ,295,22,/ 12 /,3,+10,71%
1 Fracture,TenZ,205,18,/ 14 /,5,+4,78%
2 Haven,TenZ,283,25,/ 18 /,2,+7,71%
3 Bind,TenZ,306,23,/ 15 /,3,+8,68%
1 Fracture,TenZ,202,13,/ 12 /,6,+1,75%
2 Haven,TenZ,234,18,/ 15 /,6,+3,75%
