Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Sentinels,2,100 Thieves,1,1 Lotus,TenZ,207,14,/ 8 /,11,83%,133
Sentinels,2,100 Thieves,1,2 Bind,TenZ,240,15,/ 14 /,5,63%,174
Sentinels,2,100 Thieves,1,3 Split,TenZ,199,14,/ 14 /,10,71%,134
LOUD,2,Sentinels,0,1 Split,TenZ,234,19,/ 16 /,6,67%,151
LOUD,2,Sentinels,0,2 Ascent,TenZ,109,7,/ 12 /,15,73%,78
Team Ludwig,2,Team Tarik,1,1 Bind,TenZ,405,21,/ 9 /,9,93%,265
Team Ludwig,2,Team Tarik,1,2 Breeze,TenZ,295,14,/ 13 /,1,57%,205
Team Ludwig,2,Team Tarik,1,3 Lotus,TenZ,443,35,/ 14 /,8,78%,282
Sentinels,3,Paper Rex,0,1 Split,TenZ,163,11,/ 14 /,10,80%,103
Sentinels,3,Paper Rex,0,2 Sunset,TenZ,231,17,/ 19 /,13,78%,145
Sentinels,3,Paper Rex,0,3 Breeze,TenZ,286,20,/ 12 /,14,95%,178
Sentinels,2,Team Liquid,1,1 Split,TenZ,227,18,/ 12 /,12,86%,158
Sentinels,2,Team Liquid,1,2 Haven,TenZ,114,7,/ 15 /,7,56%,89
Sentinels,2,Team Liquid,1,3 Sunset,TenZ,246,17,/ 10 /,3,72%,169
Sentinels,2,DRX,0,1 Bind,TenZ,230,15,/ 19 /,14,81%,145
Sentinels,2,DRX,0,2 Split,TenZ,312,32,/ 18 /,9,79%,210
Sentinels,2,Paper Rex,1,1 Breeze,TenZ,197,13,/ 13 /,15,90%,123
Sentinels,2,Paper Rex,1,2 Sunset,TenZ,149,10,/ 18 /,5,55%,107
Sentinels,2,Paper Rex,1,3 Haven,TenZ,220,23,/ 18 /,13,68%,147
Sentinels,2,Tarik's Allstars,1,1 Fracture,TenZ,281,22,/ 19 /,5,67%,179
Sentinels,2,Tarik's Allstars,1,2 Pearl,TenZ,392,25,/ 5 /,0,94%,226
Sentinels,2,Tarik's Allstars,1,3 Icebox,TenZ,196,19,/ 25 /,8,64%,127
Sentinels,2,Oxygen Esports,1,1 Ascent,TenZ,203,16,/ 19 /,12,75%,133
Sentinels,2,Oxygen Esports,1,2 Sunset,TenZ,205,18,/ 14 /,10,65%,142
Sentinels,2,Oxygen Esports,1,3 Breeze,TenZ,222,21,/ 16 /,13,75%,136
Sentinels,2,G2 Esports,0,1 Sunset,TenZ,214,24,/ 17 /,10,77%,146
Sentinels,2,G2 Esports,0,2 Haven,TenZ,184,12,/ 13 /,12,84%,130
Sentinels,2,Moist x Shopify,1,1 Sunset,TenZ,230,18,/ 13 /,11,76%,146
Sentinels,2,Moist x Shopify,1,2 Haven,TenZ,148,11,/ 14 /,7,52%,91
Sentinels,2,Moist x Shopify,1,3 Split,TenZ,240,23,/ 16 /,11,77%,164
Sentinels,2,G2 Esports,1,1 Sunset,TenZ,204,18,/ 18 /,9,75%,132
Sentinels,2,G2 Esports,1,2 Bind,TenZ,155,11,/ 12 /,6,65%,112
Sentinels,2,G2 Esports,1,3 Ascent,TenZ,209,14,/ 14 /,11,65%,139
Moist x Shopify,2,Sentinels,1,1 Bind,TenZ,278,15,/ 8 /,4,93%,191
Moist x Shopify,2,Sentinels,1,2 Ascent,TenZ,249,17,/ 17 /,11,71%,161
Moist x Shopify,2,Sentinels,1,3 Haven,TenZ,227,15,/ 14 /,6,72%,172
Leviatán,2,Sentinels,0,1 Fracture,TenZ,240,17,/ 15 /,8,76%,152
Leviatán,2,Sentinels,0,2 Split,TenZ,177,10,/ 15 /,3,47%,118
Cloud9,2,Sentinels,1,1 Pearl,TenZ,184,11,/ 19 /,20,71%,122
Cloud9,2,Sentinels,1,2 Fracture,TenZ,215,13,/ 12 /,14,94%,125
Cloud9,2,Sentinels,1,3 Split,TenZ,198,14,/ 17 /,6,71%,119
Sentinels,2,100 Thieves,1,1 Pearl,TenZ,212,19,/ 20 /,14,69%,129
Sentinels,2,100 Thieves,1,2 Split,TenZ,236,17,/ 14 /,6,75%,144
Sentinels,2,100 Thieves,1,3 Bind,TenZ,259,19,/ 13 /,5,75%,162
Sentinels,2,FURIA,1,1 Split,TenZ,284,21,/ 13 /,4,70%,178
Sentinels,2,FURIA,1,2 Haven,TenZ,252,15,/ 14 /,6,89%,166
Sentinels,2,FURIA,1,3 Bind,TenZ,212,25,/ 26 /,8,64%,144
Sentinels,2,KRÜ Esports,0,1 Lotus,TenZ,208,16,/ 18 /,9,65%,140
Sentinels,2,KRÜ Esports,0,2 Bind,TenZ,225,18,/ 17 /,8,74%,152
Leviatán,2,Sentinels,1,1 Split,TenZ,199,18,/ 18 /,5,65%,136
Leviatán,2,Sentinels,1,2 Ascent,TenZ,130,9,/ 18 /,7,63%,98
Leviatán,2,Sentinels,1,3 Pearl,TenZ,118,8,/ 13 /,2,47%,76
NRG Esports,2,Sentinels,0,1 Lotus,TenZ,111,8,/ 16 /,5,57%,76
NRG Esports,2,Sentinels,0,2 Icebox,TenZ,113,5,/ 14 /,2,47%,96
Sentinels,2,100 Thieves,1,1 Fracture,TenZ,277,25,/ 15 /,3,75%,170
Sentinels,2,100 Thieves,1,2 Split,TenZ,242,20,/ 21 /,5,65%,162
